job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,salary_min,salary_max,average_salary,posted_year,posted_month,posted_quarter,posted_day_of_week,city,country_code,skill_count,tool_count,has_python,has_sql,has_r,has_excel,has_pandas,has_numpy,has_scikit_learn,has_tensorflow,has_pytorch,has_keras,has_huggingface,has_langchain,has_fastapi,has_flask,has_powerbi,has_mlflow,has_cuda,has_aws,has_azure,has_gcp,has_bigquery,has_kdb,has_reinforcement_learning,has_cloud,has_deep_learning,has_nlp_related,experience_level_num,company_size_num,salary_level
11,Vaughan-Ortiz,Tech,Data Scientist,"Keras, MLflow, Reinforcement Learning",Entry,Internship,"New Angelatown, LU",99964-125971,2024-01-10,Large,"LangChain, BigQuery, Scikit-learn",99964,125971,112967.5,2024,1,1,Wednesday,New Angelatown,LU,3,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,3,Medium
12,"Johnson, Guzman and Hernandez",Finance,ML Engineer,"Excel, Reinforcement Learning, Keras, Scikit-learn",Entry,Full-time,"Joychester, LT",63583-132670,2024-03-15,Large,"TensorFlow, PyTorch, BigQuery",63583,132670,98126.5,2024,3,1,Friday,Joychester,LT,4,3,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,3,Medium
13,Martin and Sons,E-commerce,NLP Engineer,"C++, Hugging Face, Python, FastAPI",Entry,Full-time,"South Michael, FM",102770-117026,2023-09-27,Startup,LangChain,102770,117026,109898.0,2023,9,3,Wednesday,South Michael,FM,4,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Medium
14,Frank-Duarte,Retail,Quant Researcher,"Excel, MLflow, NumPy, Hugging Face, LangChain, FastAPI",Senior,Full-time,"Christianberg, GQ",137004-193975,2024-11-20,Mid,"LangChain, TensorFlow, Scikit-learn",137004,193975,165489.5,2024,11,4,Wednesday,Christianberg,GQ,6,3,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,3,2,Very High
15,Rogers Ltd,Education,NLP Engineer,"Pandas, CUDA, NumPy, FastAPI",Mid,Remote,"New Katieborough, FJ",129842-216741,2024-07-08,Large,FastAPI,129842,216741,173291.5,2024,7,3,Monday,New Katieborough,FJ,4,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,Very High
16,Wright-Evans,Automotive,NLP Engineer,"Hugging Face, Scikit-learn, Reinforcement Learning",Senior,Remote,"Stephaniechester, LU",124669-217866,2024-04-06,Startup,TensorFlow,124669,217866,171267.5,2024,4,2,Saturday,Stephaniechester,LU,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,Very High
17,Preston Ltd,E-commerce,ML Engineer,"MLflow, R, C++",Entry,Full-time,"South Tim, CZ",137523-180097,2025-05-14,Mid,LangChain,137523,180097,158810.0,2025,5,2,Wednesday,South Tim,CZ,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,High
18,Smith-Moore,Automotive,AI Product Manager,"Excel, MLflow, Hugging Face, Flask, Power BI",Entry,Internship,"Blevinsburgh, VU",138184-192857,2024-04-29,Startup,BigQuery,138184,192857,165520.5,2024,4,2,Monday,Blevinsburgh,VU,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,Very High
19,Webb and Sons,Healthcare,Data Scientist,"AWS, Azure, Power BI, CUDA, Reinforcement Learning, Hugging Face",Senior,Remote,"Parkmouth, CA",100845-159745,2024-10-19,Mid,"BigQuery, FastAPI, KDB+",100845,159745,130295.0,2024,10,4,Saturday,Parkmouth,CA,6,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,3,2,High
20,Gates LLC,E-commerce,ML Engineer,"R, CUDA, Power BI, AWS",Mid,Internship,"Stevenhaven, BW",115578-207180,2024-08-29,Large,MLflow,115578,207180,161379.0,2024,8,3,Thursday,Stevenhaven,BW,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,2,3,Very High
21,"Whitaker, Walker and Sandoval",Retail,Quant Researcher,"C++, Power BI, R, SQL, Keras, Azure",Entry,Remote,"Gregorymouth, LV",122521-175168,2024-01-19,Large,"Scikit-learn, BigQuery, PyTorch",122521,175168,148844.5,2024,1,1,Friday,Gregorymouth,LV,6,3,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,3,High
22,Humphrey LLC,Retail,Quant Researcher,"LangChain, NumPy, CUDA, C++, MLflow, R",Entry,Full-time,"Lake Alexander, RU",62483-105216,2023-12-28,Large,"PyTorch, LangChain",62483,105216,83849.5,2023,12,4,Thursday,Lake Alexander,RU,6,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,3,Medium
23,"Adams, Stevenson and Wagner",E-commerce,NLP Engineer,"CUDA, FastAPI, Scikit-learn, MLflow, Hugging Face",Mid,Remote,"North Nicholas, SN",74317-148899,2024-11-25,Startup,"PyTorch, Scikit-learn, KDB+",74317,148899,111608.0,2024,11,4,Monday,North Nicholas,SN,5,3,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,2,1,Medium
24,"Thomas, Hurst and Becker",Tech,NLP Engineer,"PyTorch, CUDA, Hugging Face, Flask, C++",Senior,Internship,"Leeton, MW",68115-125323,2023-12-06,Mid,Scikit-learn,68115,125323,96719.0,2023,12,4,Wednesday,Leeton,MW,5,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,3,2,Medium
25,Sherman-Nguyen,Healthcare,NLP Engineer,"Python, Reinforcement Learning, MLflow",Mid,Internship,"Suzanneview, TW",89840-109693,2025-06-13,Mid,FastAPI,89840,109693,99766.5,2025,6,2,Friday,Suzanneview,TW,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,Medium
26,Johnson-Keller,Finance,NLP Engineer,"PyTorch, Reinforcement Learning, FastAPI, Power BI, Python, R",Mid,Remote,"Whitestad, BB",107786-126713,2024-12-20,Mid,"FastAPI, PyTorch, KDB+",107786,126713,117249.5,2024,12,4,Friday,Whitestad,BB,6,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,Medium
27,Le PLC,Education,Quant Researcher,"Azure, Flask, FastAPI, Hugging Face, Power BI, Python",Senior,Internship,"Taraburgh, DZ",44309-77284,2025-01-02,Large,"TensorFlow, Scikit-learn, FastAPI",44309,77284,60796.5,2025,1,1,Thursday,Taraburgh,DZ,6,3,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,3,3,Low
28,"Abbott, Nielsen and Young",Healthcare,Data Analyst,"R, Python, Pandas",Entry,Contract,"New Richard, TD",124616-172767,2025-02-28,Startup,"PyTorch, MLflow",124616,172767,148691.5,2025,2,1,Friday,New Richard,TD,3,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,High
29,Thomas-Ruiz,Finance,Data Analyst,"Flask, Hugging Face, Pandas, Python, Scikit-learn, Keras",Mid,Internship,"South Donaldton, GE",142616-216391,2025-01-31,Startup,"Scikit-learn, FastAPI, LangChain",142616,216391,179503.5,2025,1,1,Friday,South Donaldton,GE,6,3,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,Very High
30,"Good, Ware and Cruz",Finance,Data Analyst,"Scikit-learn, SQL, Azure",Entry,Contract,"North Michael, TT",70932-161568,2024-06-07,Startup,TensorFlow,70932,161568,116250.0,2024,6,2,Friday,North Michael,TT,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,Medium
31,Gay PLC,Tech,Quant Researcher,"Keras, Excel, TensorFlow",Senior,Full-time,"Port Patriciaport, TG",54565-94461,2024-06-27,Startup,"KDB+, PyTorch",54565,94461,74513.0,2024,6,2,Thursday,Port Patriciaport,TG,3,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,Low
32,Kirby-Zuniga,Healthcare,Data Scientist,"Hugging Face, Scikit-learn, C++, Excel, Azure",Entry,Full-time,"Danielchester, ID",112660-179478,2023-09-22,Mid,"LangChain, KDB+",112660,179478,146069.0,2023,9,3,Friday,Danielchester,ID,5,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,2,High
33,"Castillo, Campbell and Robinson",Tech,AI Product Manager,"Keras, PyTorch, AWS, FastAPI, CUDA",Mid,Contract,"Alexandriaburgh, KN",55330-104941,2024-09-30,Startup,"TensorFlow, Scikit-learn",55330,104941,80135.5,2024,9,3,Monday,Alexandriaburgh,KN,5,2,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,2,1,Medium
34,Carter LLC,Finance,NLP Engineer,"MLflow, Keras, SQL, GCP, Power BI",Senior,Internship,"West Charles, TT",110439-183071,2023-11-25,Startup,PyTorch,110439,183071,146755.0,2023,11,4,Saturday,West Charles,TT,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,3,1,High
35,Hall Group,Automotive,Computer Vision Engineer,"GCP, C++, Excel",Entry,Contract,"North Denise, MC",97714-134140,2024-04-01,Large,"TensorFlow, Scikit-learn",97714,134140,115927.0,2024,4,2,Monday,North Denise,MC,3,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3,Medium
36,Huynh PLC,Finance,Computer Vision Engineer,"PyTorch, LangChain, R",Mid,Remote,"Kirbyside, LT",87250-156869,2023-12-25,Startup,"Scikit-learn, FastAPI, MLflow",87250,156869,122059.5,2023,12,4,Monday,Kirbyside,LT,3,3,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,High
37,"Smith, Haas and Mendez",Retail,AI Researcher,"Excel, SQL, Python",Entry,Contract,"Lake John, AU",77074-163272,2024-11-16,Mid,"Scikit-learn, LangChain, KDB+",77074,163272,120173.0,2024,11,4,Saturday,Lake John,AU,3,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,High
38,"Briggs, Shaw and Berry",E-commerce,ML Engineer,"SQL, Hugging Face, TensorFlow",Mid,Remote,"East Ashleyland, PL",116061-159814,2025-05-14,Startup,MLflow,116061,159814,137937.5,2025,5,2,Wednesday,East Ashleyland,PL,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,High
39,Boyd PLC,Retail,Data Scientist,"PyTorch, Power BI, AWS, FastAPI",Senior,Internship,"Port Misty, NL",87411-136106,2024-06-10,Mid,LangChain,87411,136106,111758.5,2024,6,2,Monday,Port Misty,NL,4,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,3,2,Medium
40,"Sanders, Mejia and Townsend",Automotive,Data Analyst,"Power BI, PyTorch, GCP, CUDA, Keras, Scikit-learn",Entry,Internship,"Deleonchester, HN",88562-159008,2025-06-27,Mid,"FastAPI, Scikit-learn, LangChain",88562,159008,123785.0,2025,6,2,Friday,Deleonchester,HN,6,3,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,2,High
41,Hernandez Inc,E-commerce,Quant Researcher,"NumPy, AWS, Excel, SQL, Keras",Senior,Remote,"Nicoleport, BF",41935-95608,2025-02-08,Mid,"Scikit-learn, TensorFlow, BigQuery",41935,95608,68771.5,2025,2,1,Saturday,Nicoleport,BF,5,3,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,3,2,Low
42,"Parrish, White and Grant",E-commerce,NLP Engineer,"R, Power BI, CUDA, MLflow",Mid,Full-time,"Kimside, BW",126443-145937,2023-11-10,Startup,TensorFlow,126443,145937,136190.0,2023,11,4,Friday,Kimside,BW,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,1,High
43,"Carroll, Lucero and Lambert",Healthcare,AI Product Manager,"NumPy, SQL, Python, Reinforcement Learning, LangChain",Entry,Full-time,"Simsside, TD",99978-189975,2024-09-05,Large,"PyTorch, TensorFlow, FastAPI",99978,189975,144976.5,2024,9,3,Thursday,Simsside,TD,5,3,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,High
44,"Thomas, Waller and Kelly",Education,Quant Researcher,"Hugging Face, Flask, TensorFlow, Excel, SQL",Entry,Contract,"South Jeremiah, MX",65214-151832,2025-03-11,Large,"TensorFlow, LangChain, PyTorch",65214,151832,108523.0,2025,3,1,Tuesday,South Jeremiah,MX,5,3,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,Medium
45,"Franklin, Wright and Berg",Automotive,Quant Researcher,"Hugging Face, Pandas, CUDA, LangChain, FastAPI",Mid,Internship,"Ramirezmouth, PK",71101-158421,2025-03-16,Mid,KDB+,71101,158421,114761.0,2025,3,1,Sunday,Ramirezmouth,PK,5,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,Medium
46,"Coleman, Gray and Roach",Healthcare,ML Engineer,"LangChain, AWS, GCP",Entry,Internship,"New Rachelmouth, IT",119200-129563,2025-02-14,Startup,"FastAPI, MLflow, TensorFlow",119200,129563,124381.5,2025,2,1,Friday,New Rachelmouth,IT,3,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,High
47,Mooney-Decker,Finance,Data Scientist,"Scikit-learn, PyTorch, Flask, Azure",Mid,Contract,"Jennyland, TR",122083-203812,2024-08-04,Startup,"PyTorch, BigQuery",122083,203812,162947.5,2024,8,3,Sunday,Jennyland,TR,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,1,Very High
48,Wood LLC,Automotive,Computer Vision Engineer,"GCP, TensorFlow, Power BI",Entry,Contract,"Port Johnville, MA",144773-159408,2025-02-21,Mid,"MLflow, BigQuery, LangChain",144773,159408,152090.5,2025,2,1,Friday,Port Johnville,MA,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,2,High
49,Copeland Group,Education,NLP Engineer,"TensorFlow, LangChain, PyTorch, Power BI, R",Entry,Remote,"North Josephshire, YE",78317-161397,2024-03-19,Mid,"KDB+, PyTorch, MLflow",78317,161397,119857.0,2024,3,1,Tuesday,North Josephshire,YE,5,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,2,Medium
50,Richards PLC,Finance,NLP Engineer,"Power BI, CUDA, C++, Pandas, SQL, AWS",Mid,Full-time,"Lewismouth, TD",75575-120477,2024-05-07,Large,"FastAPI, KDB+, Scikit-learn",75575,120477,98026.0,2024,5,2,Tuesday,Lewismouth,TD,6,3,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,2,3,Medium
51,"Melendez, Williams and Williamson",E-commerce,AI Product Manager,"TensorFlow, Keras, PyTorch, AWS, Scikit-learn",Entry,Full-time,"Steinside, IT",133185-231638,2023-09-27,Large,BigQuery,133185,231638,182411.5,2023,9,3,Wednesday,Steinside,IT,5,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,3,Very High
52,"Ellis, Crane and Boyle",E-commerce,Computer Vision Engineer,"Azure, Keras, Scikit-learn, Hugging Face, Excel, R",Entry,Contract,"North Jason, MR",73140-164506,2025-05-30,Mid,"LangChain, KDB+, FastAPI",73140,164506,118823.0,2025,5,2,Friday,North Jason,MR,6,3,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,2,Medium
53,Foley-Moore,Finance,Data Scientist,"Keras, Pandas, Python, FastAPI, CUDA, Scikit-learn",Mid,Contract,"Thomasfort, KG",69031-115150,2025-05-17,Large,MLflow,69031,115150,92090.5,2025,5,2,Saturday,Thomasfort,KG,6,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,3,Medium
54,Wright and Sons,Tech,Quant Researcher,"R, SQL, Python, PyTorch",Mid,Full-time,"Chavezstad, TG",49382-141727,2024-11-09,Large,"LangChain, BigQuery, MLflow",49382,141727,95554.5,2024,11,4,Saturday,Chavezstad,TG,4,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,3,Medium
55,Williams-Vargas,Healthcare,Quant Researcher,"Keras, Excel, FastAPI, Azure, R, PyTorch",Senior,Full-time,"Carlland, ME",135916-233596,2024-11-10,Startup,"FastAPI, TensorFlow, BigQuery",135916,233596,184756.0,2024,11,4,Sunday,Carlland,ME,6,3,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,3,1,Very High
56,Hill-Huff,Tech,ML Engineer,"Power BI, LangChain, Flask, Excel, SQL, CUDA",Senior,Remote,"Jessicamouth, PT",149271-215582,2025-04-23,Startup,"BigQuery, PyTorch, TensorFlow",149271,215582,182426.5,2025,4,2,Wednesday,Jessicamouth,PT,6,3,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,3,1,Very High
57,Meyer PLC,Education,Data Analyst,"AWS, Excel, Azure",Entry,Internship,"Caitlynmouth, MR",56348-123497,2023-11-16,Mid,"LangChain, Scikit-learn, PyTorch",56348,123497,89922.5,2023,11,4,Thursday,Caitlynmouth,MR,3,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,2,Medium
58,Boyd-Carlson,Retail,ML Engineer,"Excel, AWS, Keras, Azure, FastAPI, R",Senior,Full-time,"Villarrealhaven, KI",69159-139847,2025-02-11,Large,"MLflow, LangChain",69159,139847,104503.0,2025,2,1,Tuesday,Villarrealhaven,KI,6,2,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,3,3,Medium
59,Scott-Gardner,Tech,AI Researcher,"FastAPI, C++, Excel, Flask, Pandas",Senior,Remote,"North Laurie, BI",78305-162525,2025-06-21,Large,"FastAPI, PyTorch, LangChain",78305,162525,120415.0,2025,6,2,Saturday,North Laurie,BI,5,3,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,High
60,Jackson Group,Finance,AI Product Manager,"TensorFlow, C++, SQL, Hugging Face, Flask, Power BI",Mid,Internship,"East Juliashire, TR",64238-115477,2023-09-25,Startup,BigQuery,64238,115477,89857.5,2023,9,3,Monday,East Juliashire,TR,6,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,2,1,Medium
61,"Sullivan, Silva and Sawyer",Finance,Data Analyst,"Power BI, Excel, GCP",Senior,Remote,"North Jonathan, NL",53583-148644,2024-06-27,Mid,MLflow,53583,148644,101113.5,2024,6,2,Thursday,North Jonathan,NL,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,3,2,Medium
62,"Page, Bonilla and Cohen",Retail,AI Product Manager,"Python, FastAPI, Scikit-learn, Hugging Face, Power BI, Flask",Entry,Remote,"Port Jacobchester, SB",50457-126635,2024-05-08,Startup,LangChain,50457,126635,88546.0,2024,5,2,Wednesday,Port Jacobchester,SB,6,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,Medium
63,Young-Wright,Retail,Computer Vision Engineer,"Hugging Face, Keras, Scikit-learn",Mid,Internship,"Kaylaburgh, NO",97883-172449,2024-10-26,Large,"TensorFlow, LangChain",97883,172449,135166.0,2024,10,4,Saturday,Kaylaburgh,NO,3,2,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,High
64,Patel PLC,E-commerce,AI Product Manager,"Reinforcement Learning, LangChain, Python",Entry,Remote,"South Jamie, KM",94965-141198,2025-02-17,Startup,FastAPI,94965,141198,118081.5,2025,2,1,Monday,South Jamie,KM,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Medium
65,"Lopez, Nelson and Meyer",E-commerce,AI Researcher,"Azure, Pandas, Power BI, MLflow",Entry,Internship,"Lake Michelleport, RS",81202-154117,2025-01-06,Startup,"PyTorch, TensorFlow, FastAPI",81202,154117,117659.5,2025,1,1,Monday,Lake Michelleport,RS,4,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,Medium
66,"Harris, Porter and Walter",Retail,AI Researcher,"C++, Reinforcement Learning, NumPy, Azure, MLflow, Flask",Mid,Contract,"Port Kristenmouth, SA",106117-199125,2023-12-19,Large,"FastAPI, KDB+",106117,199125,152621.0,2023,12,4,Tuesday,Port Kristenmouth,SA,6,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,2,3,High
67,Dominguez and Sons,Automotive,AI Product Manager,"LangChain, FastAPI, SQL",Senior,Internship,"Rodriguezstad, ET",137229-193525,2024-04-08,Large,"BigQuery, KDB+",137229,193525,165377.0,2024,4,2,Monday,Rodriguezstad,ET,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,3,Very High
68,Griffith-Garner,Retail,Data Analyst,"NumPy, Python, Azure, GCP, C++, Scikit-learn",Senior,Remote,"Meredithview, LS",40995-54162,2024-12-21,Startup,PyTorch,40995,54162,47578.5,2024,12,4,Saturday,Meredithview,LS,6,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3,1,Low
69,Smith LLC,Healthcare,Data Analyst,"Power BI, AWS, NumPy, CUDA, MLflow",Mid,Full-time,"South Tylerhaven, LC",129140-193460,2023-12-09,Mid,"LangChain, PyTorch, MLflow",129140,193460,161300.0,2023,12,4,Saturday,South Tylerhaven,LC,5,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,2,2,Very High
